objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,
grinnell_34341,27,,,"Pterodactyl September 23, 1968",,1968-09-23,"The Pterodactyl was an underground student newspaper published between February 8, 1968 and November 1969. This issue contained articles on the Concerned Black Students (CBS) meeting that stated an a series of objectives including “Project 7-A Black Library to be in-corporated as a part (permanent) or Burling or a separate library. This will 1nolude works by Black writers” ",Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:34341,mixed material; text,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/grinnell_34341_OBJ.pdf,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_34341_TN.jpg,,,,,
grinnell_10586,28,,,An Evening In Ebony,Concerned Black Students,1980-11-01,"The program of ""An Evening in Ebony"", an adaptation of Erma Clanton's ""An Evening of Soul""",Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:10586,text;Ephemera,reformated digital/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10586_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10586_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10586_TN.jpg,,,,,
grinnell_20022,29,,,The Liberal Arts College in a World of Change,,10-1967,"The program for the closing event of a three-day long convocation, ""The Liberal Arts College in a World of Change.""",Life at Grinnell; Martin Luther King,"Grinnell, IA",41.75272009,92.71771508,Grinnell College,grinnell:20022,text;program,reformated digital; pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/grinnell_20022_OBJ.pdf,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_20022_TN.jpg,,,,,
grinnell_4963,30,,"This is a compound parent with 3 .tiff children, grinnell:10610-10612","Black Martyrs' Weekend 1978 (April 22, 1978) - 3 Photos",,1978-04-22,"Photographs of the 1978 Black Martyrs' Weekend, which included Angela Davis as a speaker.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:4963,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,compound_object,,,,,,,,
grinnell_10610,,grinnell_4963,,"Black Martyrs' Weekend 1978 (April 22, 1978) - 1/3",,1978-04-22,Photograph of the 1978 Black Martyrs' Weekend.,Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10610,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10610_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10610_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10610_TN.jpg,,,,,
grinnell_10611,,grinnell_4963,,"Black Martyrs' Weekend 1978 (April 22, 1978) - 2/3",,1978-04-22,Photograph of the 1978 Black Martyrs' Weekend.,Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10611,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10611_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10611_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10611_TN.jpg,,,,,
grinnell_10612,,grinnell_4963,,"Black Martyrs' Weekend 1978 (April 22, 1978) - 3/3 ",,1978-04-22,Photograph of the 1978 Black Martyrs' Weekend.,Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10612,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10612_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10612_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10612_TN.jpg,,,,,
grinnell_4957,31,,"This is a compound parent with 12 .tiff children, grinnell:10556-10567","Black Martyrs' Weekend (April 28-30, 1972) - 12 Photos",,1972-04-28,"This is a series of photographs taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:4957,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,compound_object,,,,,,,,
grinnell_10556,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 1/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10556,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10556_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10556_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10556_TN.jpg,,,,,
grinnell_10557,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 2/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10557,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10557_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10557_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10557_TN.jpg,,,,,
grinnell_10558,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 3/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10558,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10558_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10558_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10558_TN.jpg,,,,,
grinnell_10559,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 4/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10559,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10559_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10559_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10559_TN.jpg,,,,,
grinnell_10560,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 5/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10560,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10560_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10560_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10560_TN.jpg,,,,,
grinnell_10561,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 6/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10561,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10561_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10561_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10561_TN.jpg,,,,,
grinnell_10562,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 7/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10562,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10562_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10562_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10562_TN.jpg,,,,,
grinnell_10563,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 8/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10563,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10563_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10563_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10563_TN.jpg,,,,,
grinnell_10564,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 9/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10564,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10564_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10564_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10564_TN.jpg,,,,,
grinnell_10565,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 10/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10565,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10565_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10565_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10565_TN.jpg,,,,,
grinnell_10566,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 11/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10566,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10566_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10566_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10566_TN.jpg,,,,,
grinnell_10567,,grinnell_4957,,"Black Martyrs' Weekend (April 28-30, 1972) - 12/12",,1972-04-28,"A photograph taken during Grinnell's Black Martyr's Weekend, April 28-30, 1972.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:10567,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10567_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10567_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10567_TN.jpg,,,,,
grinnell_4961,32,,,"Black Martyrs' Weekend (April 4, 1970)",,1970-04-04,"Photograph of Lonnie Peek Jr. speaking at the Black Martyrs' Convocation on April 4, 1970.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:4961,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_4961_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_4961_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_4961_TN.jpg,,,,,
grinnell_31973,33,,,"Burling Library Takeover Commemoration, 2006",,2006-12-05,"Students commemorate the1971 takeover of Burling Library. December 5, 2006.",Life at Grinnell; Burling Library,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:31973,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_31973_OBJ.jpg,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_31973_TN.jpg,,,,,
grinnell_12935,34,,,Gregory Coggs and Frank Thomas at the Black Cultural Center,,,"Left to right: Gregory M. Coggs, class of 1970, and Frank E. Thomas, class of 1971, sitting on the front step of the Black Cultural Center (BBC), May 1970.",Life at Grinnell; Black Cultural Center,"Grinnell, IA",41.75300289,-92.72210871,Grinnell College,grinnell:12935,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_12935_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_12935_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_12935_TN.jpg,,,,,
dg_1711478420,35,,Was grinnell:4995 as compound of TIFF images. Converted to PDF.,Grinnell Black Alumni Newsletter 1975,,1975-04,Grinnell Black Alumni Newsletter Vol.2 No.2. Created with the CBS group,Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:4995,newspaper;print,text/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/dg_1711478420_OBJ.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1711478420_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1711478420_TN.jpg,,,,,
grinnell_5821,36,,,J. Saunders Redding,"Mcmullin, Roger W.",1973-04-13,"Photo of J. Saunders Redding, English faculty, Cornell University speaking at Black Martyr's Week. ack row, from left to right: [unknown], Shirley Johnson Jones, Milton Rolland, Gwen Canter '75. Fron row, left to right: Cheryl Treadwell, Caneda Rolland Taylor. Lecturer is J. Sanders Redding.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:5821,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5821_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5821_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5821_TN.jpg,,,,,
grinnell_17282,37,,"A compound (multiple) parent with 2 children, a .tiff and identical .jpg","Skip Day, 1975","Mcmullin, Roger W.",1975-10-07,"Fall Slip Day, October 7, 1975. Young, Gifted, and Black Gospel Choir.","Life at Grinnell; Young, Gifted, and Black Gospel Choir ","Grinnell, IA",41.74768813,-92.72151893,Grinnell College,grinnell:17282,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,multiple,,,,,,,,
grinnell_17283,,grinnell_17282,,"Skip Day, 1975 - TIFF Image",,,,,,,,,,,,,,,image,https://dgobjects.blob.core.windows.net/objs/grinnell_17283_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_17283_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_17283_TN.jpg,,,,,
grinnell_17284,,grinnell_17282,,"Skip Day, 1975 - JPG Image",,,,,,,,,,,,,,,image,https://dgobjects.blob.core.windows.net/objs/grinnell_17284_OBJ.jpg,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_17284_TN.jpg,,,,,
